Client_Num,Customer_Age,Gender,Dependent_Count,Education_Level,Marital_Status,state_cd,Zipcode,Car_Owner,House_Owner,Personal_loan,contact,Customer_Job,Income,Cust_Satisfaction_Score
708197358,42,M,1,Uneducated,Married,AK,99504,no,no,yes,cellular,Govt,107887.00,1
708204033,53,M,2,Graduate,Married,CA,91750,yes,no,yes,cellular,Selfemployeed,51233.00,1
708205083,54,M,2,Graduate,Married,NJ,91750,no,no,no,cellular,Blue-collar,79516.00,1
708207783,48,M,1,Graduate,Married,NY,91750,no,yes,no,cellular,Blue-collar,73959.00,1
708208758,42,F,3,Doctorate,Single,FL,91750,yes,yes,no,cellular,Blue-collar,23377.00,2
708211383,44,F,3,Uneducated,Single,TX,91750,no,yes,no,cellular,Retirees,44883.00,3
708212658,40,F,3,High School,Single,TX,91750,no,no,yes,unknown,Retirees,16041.00,2
708216108,58,F,1,Unknown,Married,NY,91750,no,yes,no,cellular,Businessman,24221.00,3
708217758,57,F,1,Graduate,Single,CA,91750,no,yes,no,cellular,Selfemployeed,14975.00,3
708219108,38,M,2,Graduate,Married,CA,91750,yes,no,no,cellular,Blue-collar,102561.00,3
708219858,53,F,1,Graduate,Unknown,CA,91750,no,yes,no,cellular,White-collar,56697.00,2
708222558,60,F,1,Uneducated,Single,NJ,91750,no,no,no,cellular,Retirees,53022.00,3
708223383,51,F,3,Uneducated,Married,NY,91750,yes,no,yes,cellular,Businessman,32013.00,1
708224133,39,M,4,Graduate,Single,NJ,91750,yes,no,no,cellular,Selfemployeed,62192.00,2
708225483,38,F,2,Post-Graduate,Married,CA,91750,yes,yes,no,cellular,Selfemployeed,55061.00,2
708226833,50,M,2,High School,Married,NY,91750,no,no,no,unknown,Businessman,127461.00,3
708229308,37,M,1,Uneducated,Single,NY,91750,yes,no,no,cellular,Businessman,100839.00,2
708231183,39,F,1,Uneducated,Single,CA,91750,no,no,no,unknown,Retirees,31127.00,2
708234558,62,M,0,High School,Single,TX,91750,no,yes,no,cellular,Selfemployeed,67827.00,3
708238833,38,F,2,High School,Married,NY,91750,no,yes,no,cellular,Blue-collar,12994.00,1
708241233,38,F,1,Graduate,Married,CA,91750,no,yes,no,unknown,Selfemployeed,5225.00,1
708242283,44,F,1,Unknown,Single,TX,91750,no,yes,yes,cellular,Govt,35755.00,3
708243483,60,F,2,High School,Single,TX,91750,yes,no,no,cellular,Retirees,24156.00,2
708244458,26,M,0,Graduate,Single,NY,91750,no,yes,no,cellular,White-collar,37888.00,3
708245808,41,M,0,High School,Unknown,FL,91750,yes,yes,no,telephone,Businessman,145701.00,1
708248358,61,F,2,Graduate,Married,CA,90094,yes,no,no,unknown,Businessman,186885.00,1
708249708,39,F,2,Graduate,Single,CA,91750,yes,no,no,cellular,Selfemployeed,14975.00,1
708252108,50,F,1,Graduate,Single,FL,91750,no,yes,no,cellular,Selfemployeed,49229.00,2
708253458,45,M,2,Unknown,Married,CA,91750,no,yes,no,cellular,Govt,81622.00,2
708254733,56,M,2,Graduate,Married,CA,91750,no,no,no,unknown,Blue-collar,95152.00,2
708255633,47,F,3,Graduate,Single,FL,91750,yes,yes,no,telephone,Blue-collar,35666.00,2
708260208,48,F,3,Graduate,Married,TX,91750,no,yes,no,cellular,White-collar,57686.00,1
708266883,37,F,2,Graduate,Married,TX,91750,no,yes,yes,cellular,Selfemployeed,25423.00,3
708267858,33,F,4,High School,Single,NJ,91750,no,no,no,cellular,Selfemployeed,21500.00,3
708269583,41,F,1,High School,Single,NY,91750,no,no,no,cellular,White-collar,47653.00,3
708271833,48,F,3,Graduate,Married,CA,91750,no,yes,yes,unknown,Govt,37680.00,3
708272808,41,F,2,Unknown,Single,FL,91750,yes,yes,no,cellular,White-collar,38560.00,2
708273858,39,F,1,Graduate,Single,NY,91750,no,no,no,cellular,White-collar,41203.00,1
708276183,54,F,2,Graduate,Married,TX,91750,no,no,no,cellular,Selfemployeed,14975.00,2
708281433,40,F,3,Uneducated,Single,NY,91750,yes,no,no,cellular,Businessman,43626.00,1
708285108,44,M,4,Unknown,Married,TX,91750,yes,no,no,cellular,White-collar,131861.00,1
708286683,38,M,1,Graduate,Unknown,FL,91750,yes,no,no,cellular,White-collar,83306.00,2
708288108,29,M,0,Graduate,Single,NJ,91750,no,no,no,cellular,Selfemployeed,1250.00,3
708290208,63,F,2,Graduate,Single,NY,91750,yes,no,no,cellular,White-collar,34835.00,2
708291633,54,M,1,Unknown,Single,FL,91750,no,no,no,cellular,Businessman,92894.00,1
708292833,41,F,2,Graduate,Married,CA,91750,yes,no,no,cellular,Govt,32170.00,3
708295533,55,M,2,Unknown,Single,FL,91750,no,no,no,cellular,Blue-collar,10119.00,2
708296883,31,F,1,Graduate,Single,CA,91750,no,yes,yes,unknown,Selfemployeed,8250.00,1
708298233,44,F,4,High School,Married,NJ,91750,no,no,no,unknown,Blue-collar,15092.00,3
708300483,46,F,4,Doctorate,Married,NY,91750,no,yes,no,cellular,Selfemployeed,1250.00,1
708301683,40,M,4,High School,Unknown,NY,91750,no,yes,no,cellular,Govt,110415.00,2
708303108,36,M,3,High School,Married,NJ,91750,yes,yes,no,cellular,Govt,86574.00,1
708307533,37,M,4,Post-Graduate,Married,NY,91750,yes,no,no,cellular,Govt,51165.00,2
708313608,59,F,1,Graduate,Married,NJ,91750,no,no,no,cellular,Blue-collar,21659.00,3
708314808,49,F,3,Uneducated,Single,TX,91750,no,yes,no,cellular,Selfemployeed,14975.00,3
708316008,43,F,5,Unknown,Single,CA,91750,no,no,no,cellular,Selfemployeed,15806.00,3
708319908,56,M,1,Graduate,Single,TX,91750,yes,yes,no,unknown,Govt,116230.00,3
708323208,45,F,5,Doctorate,Married,TX,91750,no,no,yes,unknown,Businessman,24058.00,1
708324483,63,M,0,Unknown,Unknown,CA,91750,no,no,yes,cellular,Selfemployeed,61485.00,2
708330858,51,F,2,Graduate,Married,TX,91750,no,no,no,unknown,Selfemployeed,1250.00,3
708331758,42,F,3,High School,Single,NY,91750,no,no,yes,telephone,Businessman,41112.00,3
708332808,49,F,4,Uneducated,Married,TX,91750,no,no,no,cellular,Businessman,166923.00,2
708334158,51,F,1,Uneducated,Single,NY,91750,yes,yes,no,unknown,White-collar,34512.00,2
708337683,27,M,0,Graduate,Married,MI,91750,no,no,yes,cellular,Selfemployeed,42779.00,1
708338958,42,M,2,High School,Unknown,FL,91750,no,no,no,cellular,Blue-collar,42334.00,3
708340758,53,M,3,Graduate,Single,NY,91750,yes,no,no,cellular,Businessman,111220.00,2
708341958,48,M,4,Unknown,Married,TX,91750,no,yes,no,cellular,Blue-collar,64665.00,1
708344358,44,F,4,High School,Single,CA,91750,no,yes,yes,cellular,Selfemployeed,11638.00,2
708347583,39,F,0,Graduate,Married,CA,91750,no,yes,no,unknown,Blue-collar,16112.00,2
708354858,41,M,2,Graduate,Married,CA,91750,no,no,no,telephone,Businessman,111730.00,1
708355683,46,F,4,Unknown,Single,NJ,91750,no,no,yes,unknown,Govt,34013.00,1
708357183,38,F,4,Doctorate,Married,CA,91750,no,no,no,unknown,Businessman,38164.00,2
708358683,56,F,1,Graduate,Married,TX,91750,yes,no,no,cellular,Selfemployeed,14975.00,1
708360108,40,M,2,Uneducated,Single,TX,91750,no,yes,yes,cellular,Govt,82412.00,2
708361833,55,F,3,Graduate,Single,CA,91750,no,yes,yes,unknown,White-collar,39861.00,2
708367908,42,M,4,Graduate,Single,TX,91750,no,no,no,cellular,Blue-collar,60037.00,3
708369633,47,M,2,Uneducated,Married,NY,91750,yes,no,no,telephone,Govt,101602.00,1
708371733,50,M,1,High School,Unknown,TX,91750,no,yes,no,cellular,Blue-collar,86281.00,2
708373083,41,F,3,High School,Married,TX,91750,yes,no,no,cellular,Blue-collar,20495.00,2
708375858,45,F,4,Post-Graduate,Single,CA,91750,no,no,no,cellular,Govt,57624.00,1
708376983,43,F,4,Graduate,Unknown,TX,91750,no,yes,no,cellular,Govt,21828.00,3
708378108,42,M,2,Uneducated,Single,NJ,91750,yes,no,no,cellular,White-collar,71834.00,1
708382083,35,F,1,Unknown,Married,TX,91750,no,no,no,cellular,Selfemployeed,30259.00,2
708384033,45,F,1,High School,Unknown,CA,91750,no,no,no,unknown,Blue-collar,28037.00,3
708385533,54,M,1,Post-Graduate,Unknown,NY,91750,no,yes,no,cellular,Govt,119059.00,2
708386958,42,F,5,Graduate,Married,GA,91750,yes,no,no,cellular,Blue-collar,19006.00,3
708387933,37,M,3,High School,Single,TX,91750,no,yes,yes,unknown,Businessman,165306.00,3
708390633,49,M,2,High School,Single,NY,91750,no,no,no,cellular,Retirees,53965.00,1
708393633,36,M,3,Unknown,Single,CA,91750,yes,no,no,cellular,Retirees,71640.00,2
708394908,55,F,3,Post-Graduate,Single,TX,91750,yes,yes,no,cellular,Selfemployeed,45818.00,1
708396033,44,M,3,Unknown,Single,CA,91750,no,no,no,cellular,White-collar,119585.00,1
708397008,45,F,3,High School,Married,CA,91750,no,no,no,telephone,White-collar,57821.00,1
708398283,41,F,3,High School,Unknown,TX,91750,no,yes,no,unknown,Govt,12775.00,3
708399858,45,M,3,Unknown,Married,CA,91750,no,yes,no,cellular,White-collar,76565.00,2
708402333,57,M,3,Unknown,Single,NY,91750,yes,yes,yes,telephone,Govt,78127.00,3
708403308,48,M,3,Uneducated,Single,CA,91750,no,no,no,cellular,Retirees,60111.00,2
708404883,49,F,3,Unknown,Single,NY,91750,no,no,no,unknown,Blue-collar,32229.00,2
708406083,57,M,2,Unknown,Single,CA,91750,no,yes,yes,unknown,Blue-collar,95876.00,2
708412758,62,F,1,Unknown,Married,CA,91750,yes,yes,no,cellular,White-collar,23378.00,2
708414033,45,F,3,Graduate,Single,NY,91750,no,yes,no,cellular,Blue-collar,41115.00,3
708416433,53,F,4,Unknown,Single,NY,91750,no,yes,no,cellular,Blue-collar,28601.00,2
708419733,44,M,3,Graduate,Married,TX,91750,no,yes,no,cellular,Blue-collar,76246.00,3
708421833,54,F,2,High School,Single,NY,91750,no,no,no,cellular,Selfemployeed,6550.00,2
708423933,48,F,1,Doctorate,Married,IA,91750,no,no,no,cellular,Businessman,35491.00,2
708426483,60,F,1,Uneducated,Married,CT,91750,yes,yes,no,cellular,Businessman,38451.00,3
708427908,33,M,3,Graduate,Married,FL,91750,no,no,no,cellular,Blue-collar,72412.00,2
708428958,57,M,3,Graduate,Single,FL,91750,yes,no,no,cellular,White-collar,118175.00,2
708431433,41,F,2,Graduate,Married,CA,91750,no,no,no,telephone,Blue-collar,14633.00,3
708433683,62,M,1,Graduate,Single,FL,91750,no,no,no,cellular,Govt,61002.00,2
708434733,52,F,2,Unknown,Single,FL,91750,no,no,no,cellular,Blue-collar,10627.00,2
708438033,41,M,4,High School,Single,TX,91750,no,no,yes,telephone,Selfemployeed,30828.00,3
708442158,42,F,4,Graduate,Married,CA,91750,yes,no,no,cellular,Businessman,42377.00,2
708445608,44,F,4,Uneducated,Married,FL,91750,no,no,no,cellular,Blue-collar,20389.00,3
708446808,51,F,3,High School,Single,NY,91750,no,yes,no,cellular,Blue-collar,20281.00,3
708447858,40,F,2,High School,Married,MA,91750,yes,yes,no,cellular,Businessman,200276.00,2
708450033,38,M,2,Unknown,Married,CA,91750,yes,no,no,cellular,Businessman,97684.00,3
708451233,26,F,0,Graduate,Single,FL,91750,yes,no,no,cellular,Retirees,40785.00,2
708453408,42,F,3,Graduate,Married,NY,91750,no,yes,no,cellular,Businessman,41039.00,2
708455883,33,F,0,Graduate,Single,TX,91750,no,yes,no,cellular,Selfemployeed,6550.00,2
708459633,45,F,5,Uneducated,Married,NY,91750,no,yes,yes,unknown,Selfemployeed,14975.00,2
708462258,54,F,4,Graduate,Married,NJ,91750,no,no,no,cellular,Businessman,235349.00,2
708469533,57,F,3,Uneducated,Single,FL,91750,no,yes,no,unknown,Selfemployeed,38273.00,3
708472008,47,M,2,Graduate,Married,CA,91750,no,yes,yes,cellular,White-collar,105522.00,2
708473133,44,M,5,Unknown,Married,CA,91750,yes,no,no,cellular,Govt,69787.00,3
708474333,50,M,4,Graduate,Married,TX,91750,no,no,no,unknown,Blue-collar,108894.00,3
708476808,55,F,1,Doctorate,Married,CA,91750,yes,yes,no,cellular,Selfemployeed,5525.00,3
708478233,45,F,2,Uneducated,Married,NY,91750,no,yes,no,unknown,White-collar,58670.00,3
708480333,65,F,0,Uneducated,Single,FL,91750,no,no,no,cellular,Govt,23891.00,3
708482658,51,M,2,Graduate,Married,TX,91750,yes,no,yes,telephone,Businessman,219668.00,2
708483708,39,M,2,Unknown,Married,NJ,91750,yes,no,no,cellular,Blue-collar,58122.00,3
708486033,59,F,0,Doctorate,Single,CA,91750,yes,no,no,cellular,Retirees,15671.00,3
708488208,45,F,3,Uneducated,Married,TX,91750,yes,yes,yes,cellular,Businessman,23898.00,3
708489258,56,F,5,Doctorate,Single,TX,91750,yes,no,no,unknown,Retirees,38817.00,3
708491508,46,F,3,Graduate,Married,NY,91750,no,yes,no,cellular,Businessman,43716.00,2
708492558,56,F,2,Graduate,Single,CA,91750,no,no,no,cellular,Selfemployeed,6550.00,2
708494583,48,F,5,Post-Graduate,Married,CA,91750,no,no,no,cellular,Selfemployeed,41132.00,3
708496833,33,M,1,Graduate,Single,CA,91750,yes,yes,no,cellular,Govt,117520.00,2
708498033,45,F,3,High School,Married,FL,91750,no,yes,no,cellular,White-collar,32495.00,3
708499608,43,F,4,Graduate,Single,NY,91750,no,no,no,cellular,Businessman,48566.00,2
708500883,40,M,4,Unknown,Married,NY,91750,no,yes,no,cellular,Businessman,113841.00,2
708501783,35,F,2,High School,Single,FL,91750,yes,no,no,cellular,Blue-collar,17340.00,3
708502908,48,F,2,Graduate,Married,NJ,91750,yes,no,no,cellular,Blue-collar,45372.00,2
708504783,47,F,3,Uneducated,Married,IL,91750,no,yes,no,unknown,Retirees,37815.00,2
708506508,52,M,1,Uneducated,Single,VA,91750,no,no,yes,cellular,Selfemployeed,83535.00,2
708507483,55,M,4,Unknown,Single,NY,91750,no,no,no,cellular,Blue-collar,78913.00,3
708508758,34,F,4,Uneducated,Single,TX,91750,yes,no,no,cellular,Selfemployeed,1250.00,3
708510858,55,F,2,High School,Single,CA,90025,no,no,no,unknown,Businessman,214404.00,2
708511983,48,M,3,Graduate,Single,CA,91750,yes,yes,no,cellular,Retirees,45977.00,3
708513183,40,F,5,High School,Single,CA,91750,no,no,no,unknown,Selfemployeed,34616.00,3
708514383,55,F,4,Uneducated,Married,FL,91750,no,yes,no,cellular,White-collar,57484.00,2
708515358,45,F,4,High School,Married,TX,91750,no,yes,no,cellular,Businessman,53906.00,2
708516558,42,F,4,Graduate,Married,TX,91750,no,yes,no,cellular,Blue-collar,52148.00,3
708519108,47,F,2,Unknown,Single,CA,91750,yes,yes,no,unknown,Businessman,20597.00,2
708522033,36,F,1,Uneducated,Single,CA,91701,no,yes,no,cellular,Businessman,198343.00,3
708525108,34,M,3,High School,Married,FL,91750,no,no,no,cellular,Govt,50792.00,2
708528483,44,F,2,Graduate,Unknown,FL,91750,no,no,no,cellular,Blue-collar,13010.00,2
708532308,40,F,3,Unknown,Married,CA,91750,yes,yes,no,cellular,Govt,34149.00,2
708534033,58,M,1,Unknown,Married,NJ,91750,no,yes,yes,cellular,Blue-collar,75578.00,2
708535158,33,M,1,Graduate,Single,IA,91750,no,no,no,telephone,White-collar,114717.00,3
708536283,36,F,2,Graduate,Single,NY,91750,no,no,no,cellular,Govt,31226.00,2
708538608,50,F,2,Uneducated,Married,NJ,91750,no,no,yes,telephone,Retirees,48968.00,3
708539583,51,F,1,Post-Graduate,Single,NY,91750,no,yes,no,cellular,Govt,46675.00,3
708542283,38,M,1,Graduate,Single,CA,91750,yes,no,no,cellular,Selfemployeed,60253.00,2
708543258,55,F,2,Doctorate,Single,CA,91750,yes,yes,no,cellular,Businessman,20631.00,2
708545058,59,M,0,High School,Single,NY,91750,yes,no,no,cellular,Govt,94345.00,2
708549033,45,M,4,High School,Married,CA,91750,no,no,no,unknown,Retirees,90458.00,2
708551508,41,M,3,Uneducated,Married,CA,91750,no,no,no,cellular,Selfemployeed,87971.00,2
708553008,49,M,4,Doctorate,Married,NJ,91750,yes,no,no,cellular,Govt,74928.00,1
708555633,51,M,3,Uneducated,Married,CA,90025,no,no,no,unknown,Businessman,203890.00,2
708557358,44,F,4,Graduate,Single,NY,91750,no,no,yes,cellular,Businessman,18357.00,2
708558408,48,M,3,Unknown,Married,NY,91750,no,no,no,cellular,Selfemployeed,41925.00,3
708559533,43,M,1,High School,Married,TX,91750,yes,no,yes,cellular,Businessman,62768.00,2
708560733,37,M,3,High School,Single,CA,91750,no,yes,no,cellular,Govt,75192.00,3
708563433,40,F,2,Uneducated,Married,FL,91750,no,no,no,unknown,Selfemployeed,14975.00,3
708564858,54,M,2,Unknown,Married,FL,91750,no,yes,no,unknown,White-collar,118629.00,1
708568983,53,M,3,Unknown,Married,FL,91750,no,yes,no,cellular,Govt,111225.00,3
708572658,51,F,3,Graduate,Married,CA,90250,yes,no,no,cellular,Businessman,196200.00,1
708573933,50,F,3,Post-Graduate,Single,IL,91750,yes,yes,no,cellular,Businessman,183118.00,2
708575058,50,F,0,Post-Graduate,Married,TX,91750,yes,yes,no,cellular,Businessman,36188.00,3
708577308,58,M,0,Graduate,Single,CA,91750,no,no,no,cellular,Selfemployeed,14975.00,2
708579633,51,F,1,Doctorate,Married,TX,91750,no,yes,no,cellular,Blue-collar,13704.00,1
708580908,41,F,2,Graduate,Married,TX,91750,yes,no,yes,cellular,Selfemployeed,12686.00,3
708582858,47,F,1,Doctorate,Married,NY,91750,yes,no,no,cellular,Blue-collar,33801.00,2
708584208,44,F,2,Graduate,Single,TX,91750,no,yes,no,cellular,Retirees,26226.00,2
708585933,37,M,2,Unknown,Single,NY,91750,no,yes,no,cellular,Blue-collar,55576.00,1
708588408,51,M,3,High School,Married,CA,91750,yes,yes,no,cellular,Businessman,61579.00,3
708590658,39,F,4,High School,Single,CA,91750,yes,yes,no,cellular,Selfemployeed,14975.00,3
708593883,35,F,0,Doctorate,Married,TX,91750,no,yes,no,unknown,White-collar,16316.00,3
708595158,45,F,4,Uneducated,Married,CA,91750,yes,yes,no,cellular,Govt,26447.00,2
708596283,56,F,3,Graduate,Single,FL,91750,yes,yes,no,unknown,Selfemployeed,32924.00,1
708597558,49,M,5,Doctorate,Single,CA,91750,no,yes,yes,cellular,Blue-collar,45984.00,2
708600033,55,M,2,Unknown,Single,NY,91750,no,yes,no,unknown,Businessman,87531.00,2
708602283,47,F,4,Unknown,Married,CA,91750,yes,no,no,cellular,Govt,45701.00,1
708606633,65,M,0,Graduate,Single,CA,91750,no,yes,no,cellular,White-collar,18114.00,3
708611733,37,M,3,Doctorate,Single,FL,91750,no,yes,yes,cellular,Govt,73096.00,3
708614058,40,M,3,Unknown,Single,NJ,91750,no,no,no,cellular,Govt,44044.00,1
708615183,48,M,3,Graduate,Married,NJ,91750,no,yes,no,cellular,Govt,68693.00,3
708618933,36,F,4,Graduate,Single,CA,91750,yes,no,no,unknown,Govt,35767.00,1
708620283,48,F,2,Graduate,Single,NY,91750,yes,yes,no,unknown,White-collar,23554.00,1
708621408,47,F,3,High School,Single,NY,91750,yes,yes,no,cellular,Govt,52557.00,2
708623283,31,F,0,Graduate,Single,NY,91750,yes,no,no,unknown,Blue-collar,21274.00,3
708626058,53,M,3,Unknown,Married,NJ,91750,no,no,no,cellular,Govt,50213.00,3
708633783,33,F,3,Graduate,Married,FL,91750,no,yes,no,cellular,Blue-collar,16244.00,2
708635058,41,M,3,Graduate,Single,CA,91750,no,no,no,cellular,Govt,78702.00,2
708637758,27,F,1,Unknown,Single,MI,91750,no,no,no,cellular,White-collar,38269.00,1
708642708,28,M,0,Post-Graduate,Married,NJ,91750,yes,no,no,cellular,Selfemployeed,14975.00,3
708644208,40,F,1,Uneducated,Married,CA,91750,no,no,no,telephone,Retirees,36638.00,1
708646233,35,F,1,Uneducated,Married,NJ,91750,no,no,no,cellular,Blue-collar,39538.00,2
708649683,51,F,3,Doctorate,Married,CA,90250,yes,yes,no,unknown,Businessman,214064.00,1
708651933,56,F,1,Graduate,Single,CA,91750,yes,yes,no,unknown,White-collar,25413.00,2
708652908,42,M,3,Uneducated,Single,TX,91750,no,no,no,cellular,White-collar,65425.00,2
708653958,60,F,1,High School,Single,TX,91750,yes,yes,yes,unknown,Businessman,30594.00,3
708654933,27,F,1,High School,Single,FL,91750,no,yes,no,unknown,White-collar,20322.00,1
708655983,42,F,2,Graduate,Unknown,TX,91750,yes,yes,no,cellular,Blue-collar,12264.00,1
708657033,38,F,1,Unknown,Married,NJ,91750,yes,no,no,cellular,White-collar,43330.00,2
708660408,57,F,1,Graduate,Married,TX,91750,no,no,no,unknown,Businessman,27897.00,2
708662583,53,M,1,Graduate,Single,NJ,91750,no,no,no,unknown,Businessman,113458.00,2
708664008,39,F,0,High School,Single,CA,91750,no,no,no,telephone,Selfemployeed,10286.00,1
708665133,48,F,3,High School,Single,NY,91750,yes,no,no,cellular,Businessman,47309.00,1
708666258,49,F,4,Graduate,Married,CA,91750,no,no,no,unknown,Blue-collar,13305.00,2
708668283,54,F,1,High School,Single,FL,91750,no,yes,no,telephone,Blue-collar,16829.00,1
708669408,32,M,2,High School,Married,CA,91750,yes,yes,yes,cellular,Retirees,72173.00,2
708670608,49,M,3,Doctorate,Married,FL,91750,no,yes,no,cellular,Govt,94093.00,2
708671733,51,M,2,Doctorate,Single,NY,91750,no,yes,no,cellular,Blue-collar,50004.00,1
708672708,43,F,5,Uneducated,Married,CA,91750,yes,yes,no,cellular,Businessman,46921.00,3
708679383,53,F,3,Graduate,Married,NY,91750,yes,no,no,unknown,White-collar,15566.00,3
708680583,50,M,1,Uneducated,Married,FL,91750,yes,yes,no,cellular,Businessman,86542.00,1
708681708,49,F,4,Uneducated,Married,NY,91750,yes,no,no,cellular,Selfemployeed,19558.00,1
708682908,42,M,2,Graduate,Married,TX,91750,no,yes,no,cellular,White-collar,115771.00,3
708684108,48,F,3,Uneducated,Married,NY,91750,yes,no,no,cellular,Retirees,23705.00,1
708687483,47,F,3,Graduate,Single,CA,91750,yes,yes,yes,cellular,Selfemployeed,14975.00,3
708688608,48,F,3,Post-Graduate,Single,TX,91750,no,yes,no,unknown,Selfemployeed,14975.00,3
708689958,31,M,1,Post-Graduate,Married,FL,91750,yes,yes,no,cellular,White-collar,76589.00,3
708692583,43,F,1,High School,Married,FL,91750,yes,yes,no,telephone,Blue-collar,25474.00,2
708693558,51,M,2,High School,Married,CA,91750,yes,yes,no,cellular,Govt,102868.00,3
708694983,54,F,1,Graduate,Single,NY,91750,yes,no,no,cellular,Businessman,183156.00,2
